29090,3
29086,17
29021,25
29087,4
28245,4
29050,4
28371,3
28243,2
28323,6
29028,23
28554,6
28375,7
28390,7
29035,10
,2
28396,7
28553,1
29085,22
29038,6
29029,69
29030,8
29033,10
29061,3
29062,5
29063,4
29066,3
28501,33
28321,21
25034,5
20013,6
20092,9
20010,2
20011,1
20012,14
28504,1
28500,39
29032,11
28506,39
29067,1
20309,1
28501,
28552,1
,
26201,38
29344,3
26063,9
26002,2
26377,0
29419,5
29480,9
26204,0
26064,5
26334,1
26245,0
26267,2
26369,5
26210,1
26203,10
26003,4
26102,2
26302,3
26010,13
26017,4
26243,2
29404,6
26023,2
29424,8
26016,1
26004,3
26114,1
26333,2
26030,10
26337,3
26353,5
29403,5
26021,2
26025,6
26027,5
26128,3
29421,9
29424,
29407,2
26075,1
26206,3
26107,2
29409,2
26253,1
29546,2
26059,1
,
,
24093,8
24111,16
24116,19
24098,17
25006,31
25142,6
25007,41
25028,9
25145,12
25141,14
25000,4
25012,24
25147,8
24112,7
25022,12
24110,1
25222,5
25005,4
24092,4
,
5050,2
5430,8
5250,3
5320,0
5150,3
5260,7
5410,1
5790,2
5170,4
5451,13
5060,2
5990,1
5490,5
5120,3
5770,2
5930,14
,
4710,6
4690,8
4250,7
4160,5
4170,2
,
4580,8
4680,6
,
4320,3
,
,
4880,0
4550,2
4660,3
4910,4
4200,3
,
4100,0
4810,4
4800,2
4050,4
4990,5
,
620,17
624,5
625,7
626,1
,
16081,1
,
5372,1
21229,2
10301,1
25024,4
94760,1
26299,5
,
94920,2
94680,3
94200,1
94590,1
,
,
24230,2
24095,2
15511,1
,
29001,3
29051,0
25069,3
26009,5
26029,3
26308,2
